"Number", "Merchant ID", "Merchant Name", "Affiliate", "Status"
"1 of 231 (0.43%)", "24423", "Firenze Seta SRL / Forzie", "linkshare", "Updated"
"2 of 231 (0.87%)", "36756", "Masdings", "linkshare", "Updated"
"3 of 231 (1.30%)", "25044", "Links of London UK", "linkshare", "Updated"
"4 of 231 (1.73%)", "36372", "The Jewellery Channel", "linkshare", "Updated"
"5 of 231 (2.16%)", "36334", "Ralph Lauren UK", "linkshare", "Failed"
"6 of 231 (2.60%)", "24797", "Karen Millen Fashions Ltd", "linkshare", "Updated"
"7 of 231 (3.03%)", "36997", "Izabel London", "linkshare", "Updated"
"8 of 231 (3.46%)", "36363", "Eve Lom", "linkshare", "Failed"
"9 of 231 (3.90%)", "35563", "Stylebop (UK)", "linkshare", "Updated"
"10 of 231 (4.33%)", "35199", "Kickers", "linkshare", "Failed"
"11 of 231 (4.76%)", "39593", "Pandora Jewellery UK Ltd", "linkshare", "Failed"
"12 of 231 (5.19%)", "36580", "Boticca.com", "linkshare", "Updated"
"13 of 231 (5.63%)", "35205", "Sweaty Betty", "linkshare", "Updated"
"14 of 231 (6.06%)", "36973", "Molton Brown", "linkshare", "Updated"
"15 of 231 (6.49%)", "35713", "Anna Scholz", "linkshare", "Updated"
"16 of 231 (6.93%)", "35663", "MyTheresa", "linkshare", "Updated"
"17 of 231 (7.36%)", "37257", "Anthropologie (UK)", "linkshare", "Updated"
"18 of 231 (7.79%)", "35664", "Jigsaw", "linkshare", "Updated"
"19 of 231 (8.23%)", "38511", "Navabi", "linkshare", "Updated"
"20 of 231 (8.66%)", "35725", "Matchesfashion.com", "linkshare", "Updated"
"21 of 231 (9.09%)", "37323", "FitFlop Ltd", "linkshare", "Failed"
"22 of 231 (9.52%)", "37547", "Fever London", "linkshare", "Updated"
"23 of 231 (9.96%)", "36373", "Warehouse Fashions Ltd", "linkshare", "Updated"
"24 of 231 (10.39%)", "36666", "Harrods", "linkshare", "Updated"
"25 of 231 (10.82%)", "36057", "Mango", "linkshare", "Updated"
"26 of 231 (11.26%)", "24274", "LinkShare UK Referral Pro", "linkshare", "Failed"
"27 of 231 (11.69%)", "39513", "English Abode", "linkshare", "Failed"
"28 of 231 (12.12%)", "37567", "The Body Shop", "linkshare", "Updated"
"29 of 231 (12.55%)", "36976", "Aftershock", "linkshare", "Updated"
"30 of 231 (12.99%)", "35703", "Radley (UK)", "linkshare", "Updated"
"31 of 231 (13.42%)", "40087", "Box 2 Ltd", "linkshare", "Failed"
"32 of 231 (13.85%)", "38401", "ASPIGA", "linkshare", "Failed"
"33 of 231 (14.29%)", "37777", "Atterley Road", "linkshare", "Updated"
"34 of 231 (14.72%)", "35814", "Amanda Wakeley", "linkshare", "Updated"
"35 of 231 (15.15%)", "24990", "French Connection UK", "linkshare", "Updated"
"36 of 231 (15.58%)", "38095", "MiH Jeans", "linkshare", "Updated"
"37 of 231 (16.02%)", "24302", "Charles Tyrwhitt LLP (UK)", "linkshare", "Updated"
"38 of 231 (16.45%)", "24862", "Benefit Cosmetics (UK)", "linkshare", "Updated"
"39 of 231 (16.88%)", "36731", "Question-air", "linkshare", "Updated"
"40 of 231 (17.32%)", "38489", "Nuxe", "linkshare", "Failed"
"41 of 231 (17.75%)", "39261", "LOVEHATS.COM", "linkshare", "Updated"
"42 of 231 (18.18%)", "35491", "The Jaeger Companys Shops", "linkshare", "Updated"
"43 of 231 (18.61%)", "39379", "Ernest Jones", "linkshare", "Failed"
"44 of 231 (19.05%)", "35151", "Isabella Oliver (UK)", "linkshare", "Updated"
"45 of 231 (19.48%)", "38021", "Luisa Via Roma (UK)", "linkshare", "Updated"
"46 of 231 (19.91%)", "38009", "Vestiaire Collective", "linkshare", "Updated"
"47 of 231 (20.35%)", "39127", "Gorgeous Shop", "linkshare", "Updated"
"48 of 231 (20.78%)", "37335", "Clarins", "linkshare", "Failed"
"49 of 231 (21.21%)", "39794", "Geox (UK)", "linkshare", "Updated"
"50 of 231 (21.65%)", "35653", "Farfetch UK", "linkshare", "Updated"
"51 of 231 (22.08%)", "36985", "Knomo", "linkshare", "Failed"
"52 of 231 (22.51%)", "24789", "Coast Fashions Limited", "linkshare", "Failed"
"53 of 231 (22.94%)", "36598", "John Smedley", "linkshare", "Updated"
"54 of 231 (23.38%)", "36027", "Notonthehighstreet.com", "linkshare", "Updated"
"55 of 231 (23.81%)", "38529", "Vince Camuto UK", "linkshare", "Failed"
"56 of 231 (24.24%)", "36168", "Monsoon", "linkshare", "Updated"
"57 of 231 (24.68%)", "38297", "Lane Crawford", "linkshare", "Updated"
"58 of 231 (25.11%)", "39482", "Leia Lingerie", "linkshare", "Updated"
"59 of 231 (25.54%)", "36374", "EAST", "linkshare", "Failed"
"60 of 231 (25.97%)", "24346", "Avon (UK)", "linkshare", "Updated"
"61 of 231 (26.41%)", "36301", "Girl Meets Dress", "linkshare", "Updated"
