Number,"Merchant ID","Merchant Name",Affiliate,Status
"1 of 231 (0.43%)",2396,"Adini Online",awin,Updated
"2 of 231 (0.87%)",911,allbeauty.com,awin,Updated
"3 of 231 (1.30%)",3660,Allsole,awin,Updated
"4 of 231 (1.73%)",3469,"Ample Bosom",awin,Updated
"5 of 231 (2.16%)",6024,Ariella,awin,Updated
"6 of 231 (2.60%)",5921,Artigiano,awin,Updated
"7 of 231 (3.03%)",5678,ASOS,awin,Updated
"8 of 231 (3.46%)",1433,"Astley Clarke",awin,Updated
"9 of 231 (3.90%)",5931,"ATG Tickets",awin,Updated
"10 of 231 (4.33%)",3334,"AX Paris",awin,Updated
"11 of 231 (4.76%)",3423,Baukjen,awin,Updated
"12 of 231 (5.19%)",1184,"Beauty Bay",awin,Updated
"13 of 231 (5.63%)",1831,Bhs,awin,Updated
"14 of 231 (6.06%)",1669,Boden,awin,Updated
"15 of 231 (6.49%)",3128,bonprix,awin,Updated
"16 of 231 (6.93%)",2041,Boots.com,awin,Updated
"17 of 231 (7.36%)",3454,"Boux Avenue",awin,Updated
"18 of 231 (7.79%)",2810,"Bras &amp; Honey",awin,Updated
"19 of 231 (8.23%)",3772,Bravissimo,awin,Updated
"20 of 231 (8.66%)",273,Buyagift.co.uk,awin,Updated
"21 of 231 (9.09%)",2102,"Chemist Direct",awin,Updated
"22 of 231 (9.52%)",2515,Clarks,awin,Updated
"23 of 231 (9.96%)",2805,Coast,awin,Updated
"24 of 231 (10.39%)",4318,Coggles,awin,Updated
"25 of 231 (10.82%)",2367,"Crabtree &amp; Evelyn",awin,Updated
"26 of 231 (11.26%)",3109,Crocs,awin,Updated
"27 of 231 (11.69%)",3540,CRUISE,awin,Updated
"28 of 231 (12.12%)",3403,Curvissa,awin,Updated
"29 of 231 (12.55%)",5653,"Diamond Style",awin,Updated
"30 of 231 (12.99%)",1134,"Dorothy Perkins",awin,Updated
"31 of 231 (13.42%)",6157,Elizabetharden,awin,Failed
"32 of 231 (13.85%)",3819,Elvi,awin,Updated
"33 of 231 (14.29%)",1423,"Evans Clothing",awin,Updated
"34 of 231 (14.72%)",1625,"F.Hinds Jewellers",awin,Updated
"35 of 231 (15.15%)",3030,"Fashion World",awin,Updated
"36 of 231 (15.58%)",3805,Flannels,awin,Updated
"37 of 231 (16.02%)",5715,"Fragrance Expert Limited",awin,Updated
"38 of 231 (16.45%)",6153,"Gerry Weber",awin,Failed
"39 of 231 (16.88%)",2894,Goddiva,awin,Updated
"40 of 231 (17.32%)",2174,Goldsmiths,awin,Updated
"41 of 231 (17.75%)",1837,"Holland &amp; Barrett",awin,Failed
